,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date,Close,Volume,rebased at 100,Date,Close,Volume,rebased at 100
2022-06-01 00:00:00-04:00,30.704999923706055,32.397499084472656,29.252500534057617,30.350000381469727,14991600.0,0.0,0.0,,,,,,,,
2022-06-02 00:00:00-04:00,29.75,34.125,28.889999389648438,33.5,27918800.0,0.0,0.0,,,,,,,,
2022-06-03 00:00:00-04:00,32.5,34.525001525878906,31.0575008392334,33.42499923706055,18234400.0,0.0,0.0,,,,,,,,
2022-06-06 00:00:00-04:00,33.82500076293945,34.025001525878906,31.762500762939453,32.025001525878906,9532800.0,0.0,0.0,,,,,,,,
2022-06-07 00:00:00-04:00,32.5,37.47249984741211,31.582500457763672,36.625,24967600.0,0.0,0.0,,,,,,,,
2022-06-08 00:00:00-04:00,35.34749984741211,38.25,33.95750045776367,34.682498931884766,24473600.0,0.0,0.0,,,,,,,,
2022-06-09 00:00:00-04:00,34.6974983215332,34.974998474121094,31.834999084472656,32.244998931884766,13114400.0,0.0,0.0,,,,,,,,
2022-06-10 00:00:00-04:00,31.5,32.98249816894531,30.78499984741211,32.272499084472656,11820000.0,0.0,0.0,,,,,,,,
2022-06-13 00:00:00-04:00,30.127500534057617,31.142499923706055,28.575000762939453,29.5625,13792800.0,0.0,0.0,,,,,,,,
2022-06-14 00:00:00-04:00,29.392499923706055,32.0,29.024999618530273,31.542499542236328,12739200.0,0.0,0.0,,,,,,,,
2022-06-15 00:00:00-04:00,31.237499237060547,32.9900016784668,30.90999984741211,32.3224983215332,10764400.0,0.0,0.0,,,,,,,,
2022-06-16 00:00:00-04:00,31.235000610351562,32.3224983215332,30.145000457763672,31.4325008392334,9995200.0,0.0,0.0,,,,,,,,
2022-06-17 00:00:00-04:00,31.71500015258789,33.96500015258789,31.579999923706055,33.78499984741211,12340800.0,0.0,0.0,,,,,,,,
2022-06-21 00:00:00-04:00,34.55500030517578,36.349998474121094,33.880001068115234,35.06999969482422,12512400.0,0.0,0.0,,,,,,,,
2022-06-22 00:00:00-04:00,34.66749954223633,36.182498931884766,34.10749816894531,34.6150016784668,7838000.0,0.0,0.0,,,,,,,,
2022-06-23 00:00:00-04:00,35.40999984741211,35.997501373291016,34.182498931884766,35.505001068115234,6682800.0,0.0,0.0,,,,,,,,
2022-06-24 00:00:00-04:00,35.75,37.092498779296875,32.88249969482422,33.8025016784668,16995600.0,0.0,0.0,,,,,,,,
2022-06-27 00:00:00-04:00,34.11750030517578,34.26250076293945,31.825000762939453,32.42250061035156,9745600.0,0.0,0.0,,,,,,,,
2022-06-28 00:00:00-04:00,32.752498626708984,32.83250045776367,30.56999969482422,31.094999313354492,6610000.0,0.0,0.0,,,,,,,,
2022-06-29 00:00:00-04:00,30.387500762939453,31.622499465942383,29.897499084472656,30.71500015258789,6826400.0,0.0,0.0,,,,,,,,
2022-06-30 00:00:00-04:00,29.842500686645508,31.647499084472656,29.440000534057617,30.575000762939453,6718800.0,0.0,0.0,,,,,,,,
0,,,,,,,,2022-06-01 00:00:00-04:00,4101.22998046875,4145710000.0,100.0,2022-09-01 00:00:00-04:00,11785.1298828125,4792890000.0,100.0
1,,,,,,,,2022-06-02 00:00:00-04:00,4176.81982421875,3604930000.0,99.0,2022-09-02 00:00:00-04:00,11630.8603515625,4257410000.0,99.0
2,,,,,,,,2022-06-03 00:00:00-04:00,4108.5400390625,3107080000.0,99.0,2022-09-06 00:00:00-04:00,11544.91015625,4622940000.0,98.0
20,,,,,,,,2022-06-30 00:00:00-04:00,3785.3798828125,4032260000.0,90.0,2022-09-30 00:00:00-04:00,10575.6201171875,4649710000.0,90.0
